bb_period,bb_std,rsi_oversold,ret_2024,sharpe_2024,dd_2024,trades_2024,ret_2025,sharpe_2025,dd_2025,trades_2025,score,avg_sharpe,min_return,all_positive
20,2.5,30,-0.03228921178101336,-0.407200886265055,-0.17207358860195562,18,0.06682801909189912,1.1861932068906842,-0.08440636342922235,19,0.0894961603128146,0.3894961603128146,-0.03228921178101336,False
14,3.0,30,-0.03228921178101336,-0.407200886265055,-0.17207358860195562,18,0.06682801909189912,1.1861932068906842,-0.08440636342922235,19,0.0894961603128146,0.3894961603128146,-0.03228921178101336,False
14,2.5,30,-0.03228921178101336,-0.407200886265055,-0.17207358860195562,18,0.06682801909189912,1.1861932068906842,-0.08440636342922235,19,0.0894961603128146,0.3894961603128146,-0.03228921178101336,False
26,2.0,30,-0.03228921178101336,-0.407200886265055,-0.17207358860195562,18,0.06682801909189912,1.1861932068906842,-0.08440636342922235,19,0.0894961603128146,0.3894961603128146,-0.03228921178101336,False
14,1.5,30,-0.03228921178101336,-0.407200886265055,-0.17207358860195562,18,0.06682801909189912,1.1861932068906842,-0.08440636342922235,19,0.0894961603128146,0.3894961603128146,-0.03228921178101336,False
26,2.5,30,-0.03228921178101336,-0.407200886265055,-0.17207358860195562,18,0.06682801909189912,1.1861932068906842,-0.08440636342922235,19,0.0894961603128146,0.3894961603128146,-0.03228921178101336,False
10,3.0,30,-0.03228921178101336,-0.407200886265055,-0.17207358860195562,18,0.06682801909189912,1.1861932068906842,-0.08440636342922235,19,0.0894961603128146,0.3894961603128146,-0.03228921178101336,False
10,2.5,30,-0.03228921178101336,-0.407200886265055,-0.17207358860195562,18,0.06682801909189912,1.1861932068906842,-0.08440636342922235,19,0.0894961603128146,0.3894961603128146,-0.03228921178101336,False
26,3.0,30,-0.03228921178101336,-0.407200886265055,-0.17207358860195562,18,0.06682801909189912,1.1861932068906842,-0.08440636342922235,19,0.0894961603128146,0.3894961603128146,-0.03228921178101336,False
10,2.0,30,-0.03228921178101336,-0.407200886265055,-0.17207358860195562,18,0.06682801909189912,1.1861932068906842,-0.08440636342922235,19,0.0894961603128146,0.3894961603128146,-0.03228921178101336,False
30,1.5,40,-0.04729699002926063,-0.5072190751302061,-0.11495825389030834,32,0.0012097729060698839,0.17738376993226646,-0.18857448042636382,36,-0.46491765259896983,-0.16491765259896984,-0.04729699002926063,False
30,3.0,40,-0.04729699002926063,-0.5072190751302061,-0.11495825389030834,32,0.0012097729060698839,0.17738376993226646,-0.18857448042636382,36,-0.46491765259896983,-0.16491765259896984,-0.04729699002926063,False
30,2.0,40,-0.04729699002926063,-0.5072190751302061,-0.11495825389030834,32,0.0012097729060698839,0.17738376993226646,-0.18857448042636382,36,-0.46491765259896983,-0.16491765259896984,-0.04729699002926063,False
30,2.5,40,-0.04729699002926063,-0.5072190751302061,-0.11495825389030834,32,0.0012097729060698839,0.17738376993226646,-0.18857448042636382,36,-0.46491765259896983,-0.16491765259896984,-0.04729699002926063,False
20,2.5,40,-0.05359326758508487,-0.5984342287357984,-0.12080736785728313,32,0.0012097729060698839,0.17738376993226646,-0.18857448042636382,36,-0.5105252294017659,-0.210525229401766,-0.05359326758508487,False
20,2.0,40,-0.05359326758508487,-0.5984342287357984,-0.12080736785728313,32,0.0012097729060698839,0.17738376993226646,-0.18857448042636382,36,-0.5105252294017659,-0.210525229401766,-0.05359326758508487,False
10,1.5,40,-0.05359326758508487,-0.5984342287357984,-0.12080736785728313,32,0.0012097729060698839,0.17738376993226646,-0.18857448042636382,36,-0.5105252294017659,-0.210525229401766,-0.05359326758508487,False
10,2.0,40,-0.05359326758508487,-0.5984342287357984,-0.12080736785728313,32,0.0012097729060698839,0.17738376993226646,-0.18857448042636382,36,-0.5105252294017659,-0.210525229401766,-0.05359326758508487,False
10,2.5,40,-0.05359326758508487,-0.5984342287357984,-0.12080736785728313,32,0.0012097729060698839,0.17738376993226646,-0.18857448042636382,36,-0.5105252294017659,-0.210525229401766,-0.05359326758508487,False
26,2.5,40,-0.05359326758508487,-0.5984342287357984,-0.12080736785728313,32,0.0012097729060698839,0.17738376993226646,-0.18857448042636382,36,-0.5105252294017659,-0.210525229401766,-0.05359326758508487,False
